title,price,link,date,location
How Music Works,£37.32,https://books.toscrape.com/catalogue/how-music-works_979/index.html,19,
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,19,
Chase Me (Paris Nights #2),£25.27,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,19,
Black Dust,£34.53,https://books.toscrape.com/catalogue/black-dust_976/index.html,19,
Birdsong: A Story in Pictures,£54.64,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,19,
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,19,
Aladdin and His Wonderful Lamp,£53.13,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,19,
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,18,
Wall and Piece,£44.18,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,18,
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,18,
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,18,
The Elephant Tree,£23.82,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,18,
The Bear and the Piano,£36.89,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,18,
Sophie's World,£15.94,https://books.toscrape.com/catalogue/sophies-world_966/index.html,18,
Penny Maybe,£33.29,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,18,
Maude (1883-1993):She Grew Up with the country,£18.02,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18,
"In a Dark, Dark Wood",£19.63,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,18,
Behind Closed Doors,£52.22,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,18,
You can't bury them all: Poems,£33.63,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,17,
Slow States of Collapse: Poems,£57.31,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,17,
Reasons to Stay Alive,£26.41,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,17,
Private Paris (Private #10),£47.61,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,17,
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,17,
Without Borders (Wanderlove #1),£45.07,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,16,
When We Collided,£31.77,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,16,
"We Love You, Charlie Freeman",£50.27,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,16,
Untitled Collection: Sabbath Poems 2014,£14.27,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,16,
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,16,
Unicorn Tracks,£18.78,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,16,
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,16,
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,16,
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,16,
This One Summer,£19.49,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,16,
Thirst,£17.27,https://books.toscrape.com/catalogue/thirst_946/index.html,16,
The Torch Is Passed: A Harding Family Story,£19.09,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,16,
The Secret of Dreadwillow Carse,£56.13,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,16,
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,16,
The Past Never Ends,£56.50,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,16,
The Natural History of Us (The Fine Art of Pretending #2),£45.22,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,16,
